scientificName,imageCount,hasImages,gbifTaxonKeyOrReason
Acianthera limae (Porto & Brade) Pridgeon & M.W.Chase,20,True,2839726
"Cephalotes pallens (Klug, 1824)",20,True,5035990
Sida viarum A.St.-Hil.,20,True,7279669
Cissus spinosa Cambess.,20,True,4054992
Leandra debilis (Naudin) Cogn.,20,True,3865157
"Pheugopedius genibarbis (Swainson, 1838)",20,True,7341176
"Phacellodomus striaticollis (d'Orbigny & Lafresnaye, 1838)",20,True,2485123
"Nycticorax nycticorax (Linnaeus, 1758)",20,True,2480863
"Corydalus nubilus Erichson, 1848",18,True,1729965
Eltroplectris schlechteriana (Porto & Brade) Pabst,9,True,2790493
Myrcia pubiflora DC.,20,True,3174896
Catasetum denticulatum F.E.L.Miranda,8,True,2803934
Virola officinalis Warb.,20,True,3742969
Byrsonima stannardii W.R.Anderson,20,True,3984533
Ficus enormis Mart. ex Miq.,20,True,8213893
Eriotheca gracilipes (K.Schum.) A.Robyns,20,True,4073722
Pleroma macrochiton (Mart. ex DC.) Triana,20,True,5601406
"Hoodus pelopidas (Fabricius, 1793)",20,True,12252926
Anthurium lindmanianum Engl.,20,True,2872275
"Calidris fuscicollis (Vieillot, 1819)",20,True,2481756
"Aphis nerii Boyer de Fonscolombe, 1841",20,True,2072196
Orthophytum foliosum L.B.Sm.,20,True,2697606
Miconia inconspicua Miq.,20,True,3863615
"Corydalus hecate McLachlan, 1866",20,True,1729958
Campomanesia simulans M.L.Kawas.,20,True,3180896
"Melanopareia torquata Wied, 1831",20,True,2491015
Schlumbergera truncata (Haw.) Moran,20,True,5383983
Psychotria fluminensis Vell.,20,True,2921919
"Elaphria obscura (Schaus, 1906)",10,True,7416364
Campomanesia pubescens (Mart. ex DC.) O.Berg,20,True,3180981
Passiflora catharinensis Sacco,9,True,3588334
Prepusa viridiflora Brade,20,True,5595785
"Notharchus tectus (Boddaert, 1783)",20,True,2475098
Myrcia morroqueimadensis Kiaersk.,10,True,3175237
Enydra sessilis A.DC,20,True,5402445
"Pseudosphex aequalis (Walker, 1865)",20,True,9496013
Myrcia oleifolia Cambess.,20,True,3174855
Ertela bahiensis (Engl.) Kuntze,20,True,3832258
"Ancylometes bogotensis (Keyserling, 1877)",20,True,2152808
"Phoraspis brachytaenia Hebard, 1921",6,True,1994607
Chamaecrista kunthiana (Schltdl. & Cham.) H.S.Irwin & Barneby,20,True,2950689
"Desmosomus longipes Perty, 1832",20,True,1191658
"Siderus eliatha (Hewitson, 1867)",20,True,1927388
"Myrmotherula klagesi Todd, 1927",20,True,2490189
Ditassa burchellii Hook. & Arn.,20,True,7312598
Eugenia schottiana O.Berg,20,True,5416528
"Stictochilus tripunctatus Bergroth, 1918",20,True,4779071
"Ophioblennius trinitatis Miranda-Ribeiro, 1919",20,True,2395285
Anathallis fastigiata (Luer & Toscano) F.Barros & Barberena,0,False,7523572
"Isostenosmylus pulverulentus (Gerstäcker, 1894)",20,True,2109683
"Leiostracus perlucidus (Spix, 1827)",20,True,10416158
Cheilolejeunea discoidea (Lehm. & Lindenb.) Kachr. & R.M.Schust.,20,True,7386722
Paepalanthus itatiaiensis Ruhland,20,True,5286916
"Tyrannus melancholicus Vieillot, 1819",20,True,5229662
Litothamnus ellipticus R.M.King & H.Rob.,20,True,3098763
Pleroma scaberrimum Triana,20,True,5601324
Leandra therezopolitana Cogn.,11,True,3860967
Nicotiana longiflora Cav.,20,True,2928766
Hortia oreadica Groppo et al.,20,True,5594652
Miconia calvescens DC.,20,True,3188585
Caamembeca oxyphylla (DC.) J.F.B.Pastore,20,True,7868452
"Nectopsyche separata (Banks, 1920)",20,True,1435458
Galianthe cymosa (Cham.) E.L.Cabral & Bacigalupo,20,True,2902251
Opuntia dillenii (Ker Gawl.) Haw.,20,True,6378623
Exostyles venusta Schott,20,True,7626770
Sabicea brasiliensis Wernham,20,True,2900158
Aechmea setigera Mart. ex Schult. & Schult.f.,20,True,2697849
Paullinia cupana Kunth,20,True,3189949
"Sphiximorpha barbipes (Loew, 1853)",20,True,1544139
Stachytarpheta longispicata (Pohl) S.Atkins,20,True,8199376
Ruellia laxa (Nees) Lindau,20,True,5574143
Polybotrya pilosa Brade,20,True,4042024
"Phelypera schuppeli (Boheman, 1834)",20,True,5996769
Murraya paniculata (L.) Jack,20,True,5421335
"Boana calcaratus (Troschel, 1848)",20,True,10551481
Aiouea trinervis Meisn.,20,True,4183047
"Brachiacantha bahiensis Brèthes, 1925",20,True,1043541
"Eucereon ladas Schaus, 1892",20,True,1810328
"Deinopa nigricollis (Butler, 1879)",7,True,1794400
Amaryllis belladonna L.,20,True,5325855
"Dysdercus ruficollis (Linnaeus, 1764)",20,True,11545697
Prepusa alata Porto & Brade,11,True,5595806
"Paraphasma sooretama Chiquetto-Machado, 2022",20,True,12242994
"Drosophila (Sophophora) suzukii (Matsumura, 1931)",20,True,5073820
Cestrum nocturnum L.,20,True,2928791
"Jacamaralcyon tridactyla (Vieillot, 1817)",20,True,2475038
"Arocera (Euopta) spectabilis (Drury, 1782)",20,True,4782246
"Icterus pyrrhopterus (Vieillot, 1819)",20,True,7340265
Ctenitis distans (Brack.) Ching,20,True,4042190
Oxalis neuwiedii Zucc.,20,True,7318238
"Xenopygus bicolor (Laporte, 1835)",20,True,8461778
Portea alatisepala Philcox,20,True,2694462
Leandra vesiculosa Cogn.,20,True,3860627
"Nemaconia australis (Cogn.) van den Berg, Salazar & Soto-Arenas",8,True,2785114
"Arbacia lixula (Linnaeus, 1758)",20,True,2278772
"Melanerpes candidus (Otto, 1796)",20,True,2478144
Cyperus polystachyos Rottb.,20,True,2730407
Viola gracillima A.St.-Hil.,20,True,8356650
Lagenocarpus rigidus Nees,20,True,5292850
"Tynacantha marginata Dallas, 1851",20,True,9669540
"Salpa maxima Forsskål, 1775",20,True,5232504
Aptandra tubicina (Poepp.) Benth. ex Miers,20,True,3685770
"Pachygrapsus transversus (Gibbes, 1850)",20,True,2225816
"Mickelia scandens (Raddi) R.C.Moran, Labiak & Sundue",20,True,7613471
Cyperus haspan L.,20,True,2715828
"Prexaspes paulensis (Rehn, 1918)",20,True,11375806
"Trichodactylus fluviatilis Latreille, 1828",20,True,5178509
"Columbina picui (Temminck, 1813)",20,True,2495865
"Thestylus aurantiurus Yamaguti & Pinto-da-Rocha, 2003",3,True,7647393
Gibasis geniculata (Jacq.) Rohweder,20,True,2764872
Schlotheimia jamesonii (Arn.) Brid.,20,True,5281061
Pleroma pallidum (Cogn.) P.J.F.Guim. & Michelang.,20,True,10714040
"Laterallus exilis (Temminck, 1831)",20,True,2474589
"Myrmotherula assimilis Pelzeln, 1868",20,True,2490201
Passiflora hatschbachii Cervi,7,True,3588105
"Amphisbaena alba Linnaeus, 1758",20,True,2472999
Mimosa radula Benth.,20,True,2970240
"Scotussa impudica Giglio-Tos, 1894",20,True,5098790
"Limnoctites sulphuriferus (Burmeister, 1869)",20,True,11068544
"Chalcocopris hesperus (Olivier, 1789)",20,True,1087618
Ocotea odorifera (Vell.) Rohwer,20,True,4177566
"Calephelis aymaran McAlpine, 1971",20,True,1936335
Gaylussacia arassatubensis R.R.Silva & Cervi,5,True,4168422
Mouriri angustifolia Spruce ex Triana,20,True,5938521
Hemionitis rufa (L.) Sw.,20,True,3747936
Govenia utriculata (Sw.) Lindl.,20,True,2841042
"Polytomus marginatus (Kirby, 1819)",20,True,1
Pabstiella conspersa (Hoehne) Luer,1,True,2786330
"Bellactis ilkalyseae Dube, 1983",20,True,2257862
Paypayrola blanchetiana Tul.,20,True,4074382
"Scinax nebulosus (Spix, 1824)",20,True,5217869
"Isia intricata Walker, 1856",15,True,5115513
"Eulissus chalybaeus Mannerheim, 1830",20,True,4435879
Moquiniastrum blanchetianum (DC.) G. Sancho,20,True,8331985
"Proceratophrys phyllostomus Izecksohn, Cruz & Peixoto, 1999",0,False,2424307
"Heliconius ethilla (Godart, 1819)",20,True,1900632
"Edessa miniata Westwood, 1837",18,True,9369410
"Dryptocephala spinosa Mayr, 1864",14,True,4782552
"Myocastor coypus (Molina, 1782)",20,True,4264680
"Leucauge argyra (Walckenaer, 1841)",20,True,2151507
"Enos falerina (Hewitson, 1867)",18,True,9568552
"Schizolecis guntheri (Miranda-Ribeiro, 1918)",0,False,2339518
Myrcia florida Lem.,20,True,3175142
"Camponotus (Myrmocladoecus) bidens Mayr, 1870",20,True,5033977
"Mesomphalia latipennis Boheman, 1856",4,True,6274114
"Agelaia centralis (Cameron, 1907)",20,True,1310153
Solanum caatingae S. Knapp & Särkinen,20,True,10020142
"Toxorhynchites (Lynchiella) solstitialis (Lutz, 1904)",18,True,1649004
"Dyscophellus porcius (Felder & Felder, 1862)",20,True,1951260
"Touit melanonotus (Wied, 1820)",20,True,2480136
Eriochrysis holcoides (Nees) Kuhlm.,20,True,5676940
Pseudolycopodiella carnosa (Silveira) Holub,20,True,3990607
Inga pilosula (Rich.) J.F.Macbr.,20,True,5358111
"Panthiades aeolus (Fabricius, 1775)",20,True,1929044
Syngonium angustatum Schott,20,True,2867888
"Zabuella castanea (Prittwitz, 1865)",20,True,1936231
"Hylesia subcana (Walker, 1855)",2,True,1867170
"Aleuron carinata (Walker, 1856)",20,True,1863102
"Campylopterus calcirupicola Lopes, Vasconcelos & Gonzaga, 2017",20,True,9570901
"Agelasticus cyanopus (Vieillot, 1819)",20,True,2484199
Miconia regelii Cogn.,20,True,3869156
"Canistra (Canistrella) rubiginosa (Guérin-Méneville, 1844)",20,True,6271617
Vochysia haenkeana Mart.,20,True,7288369
"Justicia distichophylla F.A.Silva, A.Gil & Kameyama",20,True,10735373
Nephrolepis cordifolia (L.) C.Presl,20,True,2650930
"Asaphobelis physonychus Simon, 1902",20,True,2173588
Monteverdia glaucescens (Reissek) Biral,20,True,9712285
"Atlides cosa (Hewitson, 1867)",20,True,1923499
Pachyloma coriaceum DC.,20,True,3859361
Symphyopappus casarettoi B.L.Rob.,20,True,3142539
Rotala ramosior (L.) Koehne,20,True,7727923
Fissidens submarginatus Bruch,20,True,5283349
Psidium guyanense Pers.,20,True,5420620
"Chinavia ubica (Rolston, 1983)",12,True,9815905
Catasetum rooseveltianum Hoehne,4,True,2803930
"Parrhasius polibetes (Stoll, 1781)",10,True,11079759
Doryopteris sagittifolia (Raddi) J.Sm.,20,True,3750068
"Panca trogon Evans, 1955",18,True,11017601
Paspalum pectinatum Nees ex Trin.,20,True,7679157
"Eupalea reinhardti Crotch, 1874",20,True,4741488
"Aplastodiscus cochranae (Mertens, 1952)",8,True,2427342
"Clinolabus buquetii (Jekel, 1860)",20,True,1172357
"Stagmatoptera precaria (Linnaeus, 1758)",1,True,6930238
Eriochloa punctata (L.) Desv. ex Ham.,20,True,2702522
Myrcia hartwegiana (O.Berg) Kiaersk.,20,True,3174015
Trilepis microstachya (C.B.Clarke) H.Pfeiff.,20,True,2711871
Ilex microdonta Reissek,20,True,5533729
"Rhinella margaritifera (Laurenti, 1768)",20,True,5216969
"Microctenochira quadrata (De Geer, 1775)",20,True,6270978
Chaetogastra parviflora (Cogn.) P.J.F.Guim. & Michelang.,20,True,10814591
"Lychnuchus celsus (Fabricius, 1793)",20,True,5142358
Hibiscus bifurcatus Cav.,20,True,3152591
"Trogon rufus Gmelin, 1788",20,True,2496683
"Umbonia spinosa (Fabricius, 1775)",20,True,2024168
Anathallis pusilla (Barb.Rodr.) F.Barros,18,True,2782801
"Natada pucara (Dognin, 1893)",20,True,1753662
"Metallactus nigroornatus (Stål, 1857)",20,True,3260051
Chrysophyllum pubipetalum Sossai & Alves-Araújo,18,True,10147951
"Marmarina insculpta (Kirby, 1819)",20,True,7688133
"Yphthimoides renata (Stoll, 1780)",20,True,1915339
"Dalcerina tijucana (Schaus, 1892)",20,True,1758263
"Strongylium femorale Mäklin, 1864",0,False,sem_match_taxonomico
"Paracles fervida (Schaus, 1901)",1,True,5114829
Vassobia breviflora (Sendtn.) Hunz.,20,True,3801366
Asplenium angustum Sw.,20,True,7310786
Campomanesia grandiflora (Aubl.) Sagot,20,True,3181047
"Urbanus (Urbanoides) esmeraldus (Butler, 1877)",20,True,1944273
Machaerium hirtum (Vell.) Stellfeld,20,True,5354979
"Notiobiella cixiiformis (Gerstaecker, 1888)",2,True,2101462
Erythroxylum macrophyllum Cav.,20,True,7870294
"Rhinostomus barbirostris (Fabricius, 1775)",20,True,1170652
Dilkea johannesii Barb.Rodr.,20,True,3588212
Euglena ehrenbergii G.A.Klebs,20,True,7655170
Specklinia subpicta (Schltr.) F.Barros,15,True,2835785
"Jussara luteovariata (Mello-Leitão, 1932)",20,True,6909895
"Euryades corethrus (Boisduval, 1836)",20,True,5141258
Lantana salzmannii Schauer,20,True,7297173
Marlimorimia bahiana (G.P.Lewis & M.P.Lima) L.P.Queiroz & L.M.Borges,20,True,11607120
Vellozia canelinha Mello-Silva,20,True,2863690
Guettarda angelica Mart. ex Müll.Arg.,20,True,2894768
"Echinanthera cephalomaculata Di-Bernardo, 1994",20,True,2458775
Dioscorea galiiflora R.Knuth,20,True,2755093
"Symplegma rubra Monniot, 1972",20,True,2332248
Glechon thymoides Spreng.,20,True,3891702
"Cantorchilus leucotis (Lafresnaye, 1845)",20,True,7341038
Cladonia confusa R. Sant.,20,True,10986021
Brachypodium distachyon (L.) P.Beauv.,20,True,5290143
Anemia sertaneja Mickel & Labiak,1,True,8843464
Ornithopus sativus Brot.,20,True,5358266
"Lipaugus ater (Ferrusac, 1829)",20,True,10678315
Mendoncia pilosa Mart.,20,True,7730685
"Dasyprocta prymnolopha Wagler, 1831",20,True,2437580
"Polybia (Myrapetra) erythrothorax Richards, 1978",20,True,5032825
Oxypetalum capitatum Mart.,20,True,7486690
Tradescantia mundula Kunth,20,True,2765158
"Plagiometriona sahlbergi (Boheman, 1855)",1,True,5876247
"Plagiometriona punctatissima (Boheman, 1855)",0,False,6270872
Vernonanthura tweediana (Baker) H.Rob.,20,True,7913746
"Letis specularis Hübner, 1821",20,True,1788372
"Haliclona (Reniera) implexiformis (Hechtel, 1965)",20,True,5182121
Hellenia speciosa (J.Koenig) S.R.Dutta,20,True,7584507
"Cygnus atratus (Latham, 1790)",20,True,2498344
Amaioua intermedia Mart. ex Schult. & Schult.f.,20,True,2901131
Dichanthelium sciurotoides (Zuloaga & Morrone) Davidse,20,True,4133624
"Saltator grossus (Linnaeus, 1766)",20,True,5230955
Blechnum polypodioides Raddi,20,True,2651528
Guapira darwinii (Hemsl.) E.C.O.Chagas & Costa-Lima,20,True,10879415
"Pteroglossus aracari (Linnaeus, 1758)",20,True,2478828
"Necrobia rufipes (DEGEER, 1775)",20,True,11342266
"Clastoptera cimicoides Germar, 1839",20,True,2017382
"Hapigia cresus (Cramer, 1777)",20,True,1822704
Miconia urophylla DC.,20,True,3863417
Entada polyphylla Benth.,20,True,2976278
"Chrysodeixis includens (Walker, 1858)",20,True,1785168
Ipomoea imperati (Vahl) Griseb.,20,True,2928596
Austroeupatorium rosmarinaceum (Cabrera & Vittet) R.M.King & H.Rob.,14,True,3142447
"Deroptyus accipitrinus (Linnaeus, 1758)",20,True,2479535
Cybianthus brasiliensis (Mez) G.Agostini,20,True,3718852
"Micrurus decoratus (Jan, 1858)",20,True,5226994
Henriettea stellaris O.Berg ex Triana,20,True,3860536
"Riodina lysippus (Linnaeus, 1758)",20,True,1935343
Urbanodendron verrucosum (Nees) Mez,20,True,4181404
"Bothrops atrox (Linnaeus, 1758)",20,True,5220775
"Anthus chii Vieillot, 1818",20,True,10884972
Monteverdia erythroxylon (Reissek) Biral,20,True,9807614
"Uca (Uca) maracoani (Latreille, 1802)",20,True,2221550
"Pionopsitta pileata (Scopoli, 1769)",20,True,2479983
Rottboellia cochinchinensis (Lour.) Clayton,20,True,2704075
Richterago radiata (Vell.) Roque,20,True,3146167
Pleiochiton roseum Cogn.,20,True,3870705
Stevia cinerascens Sch.Bip. ex Baker,20,True,3125679
Adiantum petiolatum Desv.,20,True,2651824
"Littoraria flava (King, 1832)",20,True,5856809
Tillandsia paraibensis R.A. Pontes,8,True,8119242
"Scinax hayii (Barbour, 1909)",20,True,5217920
"Remartinia luteipennis (Burmeister, 1839)",20,True,1424931
"Steatoda diamantina (Levi, 1962)",20,True,2157200
Galeandra paraguayensis Cogn.,20,True,2821013
"Caeruleuptychia aegrota (Butler, 1867)",20,True,1892529
"Pachymerus nucleorum Fabricius, 1792",20,True,3260350
"Miathyria simplex (Rambur, 1842)",20,True,1427686
Capsicum baccatum L.,20,True,2932938
"Leucopternis kuhli Bonaparte, 1850",20,True,2480400
"Sylvicola annuliferus (Edwards, 1923)",3,True,5076352
Pabstiella colorata (Pabst) Luer & Toscano,4,True,7636750
Perama hirsuta Aubl.,20,True,2907355
"Psocathropos lachlani Ribaga, 1899",20,True,1031735
Chaetogastra macranthera (Miq.) F.S.Mey. & R.Goldenb.,20,True,7273204
"Maeota dichrura Simon, 1901",20,True,2175979
"Odontophorus gujanensis (Gmelin, 1789)",20,True,5228058
Euphorbia estevesii N.Zimm. & P.J.Braun,2,True,3064468
Luetzelburgia bahiensis Yakovlev,20,True,2947751
"Brachymesia furcata (Hagen, 1861)",20,True,1427976
Neoregelia farinosa (Ule) L.B.Sm.,20,True,2694140
Pabstiella matinhensis (Hoehne) Luer,20,True,2787345
"Lebia (Chelonodema) dorsalis Dejean, 1826",20,True,8288017
"Coprinopsis stercorea (Fr.) Redhead, Vilgalys & Moncalvo",20,True,5242717
Elaphoglossum plumosum (Fée) T.Moore,20,True,7288673
"Alpheus bouvieri Milne-Edwards, 1878",20,True,2226175
"Helicops angulatus (Linnaeus, 1758)",20,True,2457699
Guatteria maypurensis Kunth,20,True,3155737
Sesbania exasperata Kunth,20,True,2970700
Pouteria venosa (Mart.) Baehni,20,True,2884608
Hippeastrum stylosum Herb.,20,True,2854344
Morganella sulcatostoma C.R. Alves & Cortez,0,False,8327092
"Caelopygus melanocephalus Kollar, 1839",20,True,6904270
Pseuderanthemum carruthersii (Seem.) Guillaumin,20,True,3173133
Leandra alpestris (Gardner) Cogn.,14,True,3866875
"Hesperocharis erota (Lucas, 1852)",20,True,1920269
"Neivacoris microcephalus Lent & Wygodzinsky, 1947",1,True,9740609
"Juditha molpe (Hübner, 1808)",20,True,1935296
Peperomia tetraphylla (G.Forst.) Hook. & Arn.,20,True,3086448
Callicarpa nudiflora Hook. & Arn.,20,True,5609427
Paspalum regnellii Mez,20,True,4154741
Galeandra devoniana M.R.Schomb. ex Lindl.,20,True,2820990
"Adelpha plesaure Hübner, 1823",20,True,9274887
"Hirundinea ferruginea (Gmelin, 1788)",20,True,2483242
Fimbristylis aestivalis (Retz.) Vahl,20,True,2708266
Peltogyne angustiflora Ducke,20,True,2952701
Lepidaploa aurea (Mart. ex DC.) H.Rob.,20,True,3099867
"Hyperaspis conclusa Weise, 1906",0,False,sem_match_taxonomico
"Ramphocaenus melanurus Vieillot, 1819",20,True,9393917
Stizophyllum inaequilaterum Bureau & K.Schum.,20,True,4091727
Eugenia neosilvestris Sobral,20,True,5417770
Eustachys petraea (Sw.) Desv.,20,True,5289825
Morus nigra L.,20,True,5361888
Mikania ternata (Vell.) B.L.Rob.,20,True,5398714
Azolla microphylla Kaulf.,20,True,4196478
Passovia pyrifolia (Kunth) Tiegh.,20,True,7687446
Nidularium longiflorum Ule,20,True,2697686
Glandularia selloi (Spreng.) Tronc.,20,True,5667434
"Pionites melanocephalus (Linnaeus, 1758)",20,True,2479437
Justicia polita (Nees) Profice,20,True,3771515
Oeceoclades maculata (Lindl.) Lindl.,20,True,2840119
Hemerocallis fulva (L.) L.,20,True,2781074
Stigmatopteris caudata (Raddi) C.Chr.,20,True,4042469
Senna undulata (Benth.) H.S.Irwin & Barneby,20,True,2957590
Viola × wittrockiana Gams,20,True,5331389
Spigelia tetraptera Taub. ex L.B.Sm.,20,True,8237270
Mimosa rufescens Benth.,20,True,2969630
"Petasodes dominicana (Burmeister, 1838)",20,True,5150501
"Eciton burchellii (Westwood, 1842)",20,True,1319394
Stropharia coronilla (Bull.) Quél.,20,True,9128521
Passiflora miniata Vanderpl.,20,True,3587076
"Bubulcus ibis (Linnaeus, 1758)",20,True,2480830
"Sysinas pallidipes Stål, 1860",8,True,8228659
Myrcia deflexa (Poir.) DC.,20,True,3173921
"Astropecten brasiliensis Müller & Troschel, 1842",20,True,5186529
Luehea rufescens A.St.-Hil.,20,True,7607165
Paepalanthus planifolius (Bong.) Körn.,20,True,5287005
Calea marginata S.F.Blake,20,True,3147454
Annona pickelii (Diels) H.Rainer,20,True,5541606
Serpocaulon levigatum (Cav.) A.R.Sm.,20,True,4023945
"Proceratophrys melanopogon (Miranda-Ribeiro, 1926)",20,True,2424305
